
UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_LIABILITIES)
"0JQ","Vision Airlines","1",15408
"0JQ","Vision Airlines","2",15448
"0JQ","Vision Airlines","3",
"0JQ","Vision Airlines","4",
"0WQ","Avjet Corporation","1",12289
"0WQ","Avjet Corporation","2",14653
"0WQ","Avjet Corporation","3",10092
"0WQ","Avjet Corporation","4",12274
"23Q","Songbird Airways Inc.","1",863
"23Q","Songbird Airways Inc.","2",706
"23Q","Songbird Airways Inc.","3",495
"23Q","Songbird Airways Inc.","4",1041
"27Q","Jet Aviation Flight Services, Inc.","1",
"27Q","Jet Aviation Flight Services, Inc.","2",
"27Q","Jet Aviation Flight Services, Inc.","3",36019
"27Q","Jet Aviation Flight Services, Inc.","4",36952
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",5198
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",5818
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",5446
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",3110
"5X","United Parcel Service","1",621539
"5X","United Parcel Service","2",643910
"5X","United Parcel Service","3",659671
"5X","United Parcel Service","4",668808
"5Y","Atlas Air Inc.","1",351720
"5Y","Atlas Air Inc.","2",335347
"5Y","Atlas Air Inc.","3",319949
"5Y","Atlas Air Inc.","4",343844
"8C","Air Transport International","1",23633
"8C","Air Transport International","2",20108
"8C","Air Transport International","3",19938
"8C","Air Transport International","4",16658
"9E","Endeavor Air Inc.","1",71183
"9E","Endeavor Air Inc.","2",73513
"9E","Endeavor Air Inc.","3",72714
"9E","Endeavor Air Inc.","4",97141
"9S","Southern Air Inc.","1",23091
"9S","Southern Air Inc.","2",14501
"9S","Southern Air Inc.","3",14584
"9S","Southern Air Inc.","4",27545
"AA","American Airlines Inc.","1",12447316
"AA","American Airlines Inc.","2",13254898
"AA","American Airlines Inc.","3",14146174
"AA","American Airlines Inc.","4",13377518
"ABX","ABX Air Inc","1",59937
"ABX","ABX Air Inc","2",54038
"ABX","ABX Air Inc","3",57870
"ABX","ABX Air Inc","4",68076
"AS","Alaska Airlines Inc.","1",2273161
"AS","Alaska Airlines Inc.","2",2329658
"AS","Alaska Airlines Inc.","3",2271056
"AS","Alaska Airlines Inc.","4",2644681
"B6","JetBlue Airways","1",2202964
"B6","JetBlue Airways","2",2185456
"B6","JetBlue Airways","3",2226411
"B6","JetBlue Airways","4",2274845
"CP (2)","Compass Airlines","1",12980
"CP (2)","Compass Airlines","2",20572
"CP (2)","Compass Airlines","3",16333
"CP (2)","Compass Airlines","4",17952
"DL","Delta Air Lines Inc.","1",17704998
"DL","Delta Air Lines Inc.","2",17459466
"DL","Delta Air Lines Inc.","3",17991746
"DL","Delta Air Lines Inc.","4",17526653
"EE","Eastern Airlines Group Inc.","1",
"EE","Eastern Airlines Group Inc.","2",
"EE","Eastern Airlines Group Inc.","3",5476
"EE","Eastern Airlines Group Inc.","4",8990
"EV","ExpressJet Airlines LLC d/b/a aha!","1",312352
"EV","ExpressJet Airlines LLC d/b/a aha!","2",336243
"EV","ExpressJet Airlines LLC d/b/a aha!","3",324698
"EV","ExpressJet Airlines LLC d/b/a aha!","4",397522
"F9","Frontier Airlines Inc.","1",471123
"F9","Frontier Airlines Inc.","2",480941
"F9","Frontier Airlines Inc.","3",527606
"F9","Frontier Airlines Inc.","4",487936
"FCQ","Falcon Air Express","1",17526
"FCQ","Falcon Air Express","2",
"FCQ","Falcon Air Express","3",
"FCQ","Falcon Air Express","4",
"FX","Federal Express Corporation","1",3884224
"FX","Federal Express Corporation","2",3528546
"FX","Federal Express Corporation","3",3667879
"FX","Federal Express Corporation","4",3383872
"G4","Allegiant Air","1",369516
"G4","Allegiant Air","2",368570
"G4","Allegiant Air","3",356328
"G4","Allegiant Air","4",352235
"G7","GoJet Airlines LLC d/b/a United Express","1",33169
"G7","GoJet Airlines LLC d/b/a United Express","2",39686
"G7","GoJet Airlines LLC d/b/a United Express","3",48955
"G7","GoJet Airlines LLC d/b/a United Express","4",47543
"GFQ","Gulf And Caribbean Cargo","1",23456
"GFQ","Gulf And Caribbean Cargo","2",24107
"GFQ","Gulf And Caribbean Cargo","3",25249
"GFQ","Gulf And Caribbean Cargo","4",22839
"GL","Miami Air International","1",14839
"GL","Miami Air International","2",16342
"GL","Miami Air International","3",16384
"GL","Miami Air International","4",18002
"HA","Hawaiian Airlines Inc.","1",842014
