
UNIQUE_CARRIER, Description, QUARTER,Sum(LIAB_SH_HLD_EQUITY)
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","1",60259
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","2",60435
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","3",67711
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","4",83961
"0WQ","Avjet Corporation","1",55282
"0WQ","Avjet Corporation","2",57148
"0WQ","Avjet Corporation","3",57148
"0WQ","Avjet Corporation","4",59995
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1",11519
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","2",14607
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","3",3770
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","4",1999
"23Q","Songbird Airways Inc.","1",3520
"23Q","Songbird Airways Inc.","2",671
"23Q","Songbird Airways Inc.","3",382
"23Q","Songbird Airways Inc.","4",
"27Q","Jet Aviation Flight Services, Inc.","1",86560
"27Q","Jet Aviation Flight Services, Inc.","2",88573
"27Q","Jet Aviation Flight Services, Inc.","3",93081
"27Q","Jet Aviation Flight Services, Inc.","4",88780
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",33521
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",35728
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",34811
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",38043
"5X","United Parcel Service","1",8999167
"5X","United Parcel Service","2",8795485
"5X","United Parcel Service","3",8555674
"5X","United Parcel Service","4",8703145
"5Y","Atlas Air Inc.","1",3101817
"5Y","Atlas Air Inc.","2",3185387
"5Y","Atlas Air Inc.","3",3189802
"5Y","Atlas Air Inc.","4",3289069
"8C","Air Transport International","1",82261
"8C","Air Transport International","2",94925
"8C","Air Transport International","3",92011
"8C","Air Transport International","4",100666
"9E","Endeavor Air Inc.","1",212923
"9E","Endeavor Air Inc.","2",202551
"9E","Endeavor Air Inc.","3",184860
"9E","Endeavor Air Inc.","4",183945
"9S","Southern Air Inc.","1",82751
"9S","Southern Air Inc.","2",93787
"9S","Southern Air Inc.","3",102209
"9S","Southern Air Inc.","4",85467
"AA","American Airlines Inc.","1",59999286
"AA","American Airlines Inc.","2",61326981
"AA","American Airlines Inc.","3",60793497
"AA","American Airlines Inc.","4",60011514
"ABX","ABX Air Inc","1",370884
"ABX","ABX Air Inc","2",354667
"ABX","ABX Air Inc","3",349191
"ABX","ABX Air Inc","4",365202
"AS","Alaska Airlines Inc.","1",12375275
"AS","Alaska Airlines Inc.","2",12890716
"AS","Alaska Airlines Inc.","3",13109934
"AS","Alaska Airlines Inc.","4",13258204
"B6","JetBlue Airways","1",9472503
"B6","JetBlue Airways","2",9644287
"B6","JetBlue Airways","3",9595524
"B6","JetBlue Airways","4",9781305
"CP (2)","Compass Airlines","1",62134
"CP (2)","Compass Airlines","2",90896
"CP (2)","Compass Airlines","3",85728
"CP (2)","Compass Airlines","4",85461
"DL","Delta Air Lines Inc.","1",51477314
"DL","Delta Air Lines Inc.","2",51851468
"DL","Delta Air Lines Inc.","3",51972007
"DL","Delta Air Lines Inc.","4",53333349
"EE","Eastern Airlines Group Inc.","1",31263
"EE","Eastern Airlines Group Inc.","2",22682
"EE","Eastern Airlines Group Inc.","3",18461
"EE","Eastern Airlines Group Inc.","4",
"EV","ExpressJet Airlines LLC d/b/a aha!","1",565839
"EV","ExpressJet Airlines LLC d/b/a aha!","2",529175
"EV","ExpressJet Airlines LLC d/b/a aha!","3",721939
"EV","ExpressJet Airlines LLC d/b/a aha!","4",599122
"F9","Frontier Airlines Inc.","1",1295653
"F9","Frontier Airlines Inc.","2",1388409
"F9","Frontier Airlines Inc.","3",1433970
"F9","Frontier Airlines Inc.","4",1565589
"FX","Federal Express Corporation","1",29991679
"FX","Federal Express Corporation","2",30954819
"FX","Federal Express Corporation","3",32635963
"FX","Federal Express Corporation","4",33234392
"G4","Allegiant Air","1",2125678
"G4","Allegiant Air","2",2274246
"G4","Allegiant Air","3",2416334
"G4","Allegiant Air","4",2588671
"G7","GoJet Airlines LLC d/b/a United Express","1",227945
"G7","GoJet Airlines LLC d/b/a United Express","2",225601
"G7","GoJet Airlines LLC d/b/a United Express","3",217918
"G7","GoJet Airlines LLC d/b/a United Express","4",220570
"GFQ","Gulf And Caribbean Cargo","1",34508
"GFQ","Gulf And Caribbean Cargo","2",37016
"GFQ","Gulf And Caribbean Cargo","3",38366
"GFQ","Gulf And Caribbean Cargo","4",35326
"GL","Miami Air International","1",22683
"GL","Miami Air International","2",16146
"GL","Miami Air International","3",18957
"GL","Miami Air International","4",18424
"HA","Hawaiian Airlines Inc.","1",2701957
"HA","Hawaiian Airlines Inc.","2",2770288
"HA","Hawaiian Airlines Inc.","3",2687463
"HA","Hawaiian Airlines Inc.","4",2729031
"KAQ","Kalitta Air LLC","1",584954
"KAQ","Kalitta Air LLC","2",600643
"KAQ","Kalitta Air LLC","3",621968
"KAQ","Kalitta Air LLC","4",689436
"KD","Western Global","1",12755
"KD","Western Global","2",15846
"KD","Western Global","3",-39095
"KD","Western Global","4",54609
"KH","Aloha Air Cargo","1",52271
"KH","Aloha Air Cargo","2",51575
"KH","Aloha Air Cargo","3",48648
"KH","Aloha Air Cargo","4",51186
"KLQ","Kalitta Charters II","1",36546
"KLQ","Kalitta Charters II","2",39147
"KLQ","Kalitta Charters II","3",44641
"KLQ","Kalitta Charters II","4",52774
"L2","Lynden Air Cargo Airlines","1",91582
"L2","Lynden Air Cargo Airlines","2",89535
"L2","Lynden Air Cargo Airlines","3",91234
"L2","Lynden Air Cargo Airlines","4",91591
"M6","Amerijet International","1",137672
"M6","Amerijet International","2",134461
"M6","Amerijet International","3",136913
"M6","Amerijet International","4",144008
"MQ","Envoy Air","1",325066
"MQ","Envoy Air","2",325066
"MQ","Envoy Air","3",325066
"MQ","Envoy Air","4",325066
"N8","National Air Cargo Group Inc d/ba National Airlines","1",117505
"N8","National Air Cargo Group Inc d/ba National Airlines","2",77538
"N8","National Air Cargo Group Inc d/ba National Airlines","3",80127
"N8","National Air Cargo Group Inc d/ba National Airlines","4",79045
"NC","Northern Air Cargo Inc.","1",40340
"NC","Northern Air Cargo Inc.","2",43083
"NC","Northern Air Cargo Inc.","3",45244
"NC","Northern Air Cargo Inc.","4",45186
"NK","Spirit Air Lines","1",3438614
"NK","Spirit Air Lines","2",3674345
"NK","Spirit Air Lines","3",3870942
"NK","Spirit Air Lines","4",4143950
"OH","PSA Airlines Inc.","1",143026
"OH","PSA Airlines Inc.","2",135595
"OH","PSA Airlines Inc.","3",137461
"OH","PSA Airlines Inc.","4",155517
"OO","SkyWest Airlines Inc.","1",4945785
"OO","SkyWest Airlines Inc.","2",5182102
"OO","SkyWest Airlines Inc.","3",5225597
"OO","SkyWest Airlines Inc.","4",5386548
"PFQ","Asia Pacific","1",25146
"PFQ","Asia Pacific","2",38808
"PFQ","Asia Pacific","3",39492
"PFQ","Asia Pacific","4",40469
"PO","Polar Air Cargo Airways","1",113438
"PO","Polar Air Cargo Airways","2",103696
"PO","Polar Air Cargo Airways","3",109215
"PO","Polar Air Cargo Airways","4",117599
"QX","Horizon Air","1",718938
"QX","Horizon Air","2",833889
"QX","Horizon Air","3",913839
"QX","Horizon Air","4",928814
"SY","Sun Country Airlines d/b/a MN Airlines","1",202610
"SY","Sun Country Airlines d/b/a MN Airlines","2",195297
"SY","Sun Country Airlines d/b/a MN Airlines","3",212964
"SY","Sun Country Airlines d/b/a MN Airlines","4",215488
"U7","USA Jet Airlines Inc.","1",190374
"U7","USA Jet Airlines Inc.","2",233664
"U7","USA Jet Airlines Inc.","3",234468
"U7","USA Jet Airlines Inc.","4",203540
"UA","United Air Lines Inc.","1",41395433
"UA","United Air Lines Inc.","2",42258000
"UA","United Air Lines Inc.","3",42558381
"UA","United Air Lines Inc.","4",42320343
"VX","Virgin America","1",3592350
"VX","Virgin America","2",3383777
"VX","Virgin America","3",3271987
"VX","Virgin America","4",3392226
"WI","Sky Lease Cargo","1",39837
"WI","Sky Lease Cargo","2",47771
"WI","Sky Lease Cargo","3",45680
"WI","Sky Lease Cargo","4",60722
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","1",16366
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","2",15400
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","3",17997
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","4",16579
