
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"-","Unknown",5273
"04Q","Tradewind Aviation",28441
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",170484
"0WQ","Avjet Corporation",3374
"14Q","London Air Services Limited",226
"1AQ","Via Airlines d/b/a Sterling Airways",51796
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",3601
"1EQ","KaiserAir, Inc.",12721
"1PQ","Makani Kai Air Charters",4374
"1QQ","City Wings Inc dba Seaflight",21980
"1TQ","Rhoades Aviation dba Transair",0
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",55918
"1YQ","Air Charter, Inc d/b/a Air Flamenco",5824
"22Q","Gem Air LLC",441
"24Q","Jet Story",1
"27Q","Jet Aviation Flight Services, Inc.",11127
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",0
"2E","Smokey Bay Air Inc.",20914
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",453
"2F","Frontier Flying Service",0
"2HQ","Elite Airways LLC",37893
"2JQ","Delux Public Charter LLC",129258
"2LQ","Tropic Ocean Airways LLC",300
"2O","Island Air Service",18070
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services",53
"30Q","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",144
"34Q","Polaris Aviation Solutions, LLC",66
"37Q","Eastern Air Express, LLC (EAX)",411
"3AQ","Maritime Helicopters, Inc.",4328
"3DQ","Rectrix Aviation, Inc.",11153
"3E","Multi-Aero, Inc. d/b/a Air Choice One",78762
"3F","Pacific Airways, Inc.",13524
"3M","Silver Airways",444602
"4B","Boutique Air",172459
"4W","Warbelow",23589
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",3564
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",15208
"7H","NEW PACIFIC AIRLINES",407328
"7S","Ryan Air f/k/a Arctic Transportation",2018
"8C","Air Transport International",49
"8E","Bering Air Inc.",88502
"8V","Wright Air Service",51234
"9E","Endeavor Air Inc.",12828893
"9K","Cape Air",525147
"9S","Southern Air Inc.",0
"9X","Southern Airways Express, dba Mokulele Airlines",96056
"AA","American Airlines Inc.",119517274
"AAT","Air Sunshine Inc.",2127
"ABX","ABX Air Inc",0
"AC","Air Canada",9626
