
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"02Q","Titan Airways",61
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",279647
"0UQ","Comlux Malta, Ltd.",43
"13Q","Chartright Air Inc.",362
"14Q","London Air Services Limited",255
"1AQ","Via Airlines d/b/a Sterling Airways",14160
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",8248
"1EQ","KaiserAir, Inc.",8386
"1QQ","City Wings Inc dba Seaflight",15371
"1UQ","Gainjet Aviation SA",5
"1YQ","Air Charter, Inc d/b/a Air Flamenco",16293
"1ZQ","Comlux Aruba NV",161
"2AQ","ABS JETS A.S",5
"2E","Smokey Bay Air Inc.",15832
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",5202
"2JQ","Delux Public Charter LLC",675941
"2LQ","Tropic Ocean Airways LLC",3349
"2NQ","LIMA NY Corp d/b/a Fly The Whale",44294
"2O","Island Air Service",19439
"34Q","Polaris Aviation Solutions, LLC",9
"3AQ","Maritime Helicopters, Inc.",3718
"3BQ","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",30
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",5491
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",15071
"3KQ","Junipogo, LLC",686
"3M","Silver Airways",555583
"3S","AeroLogic GmbH",0
"4B","Boutique Air",29395
"4W","Warbelow",18122
"5D","Aerolitoral",68
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",18449
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",12235
"6F","FOX AIRCRAFT, LLC",23018
"7H","NEW PACIFIC AIRLINES",182822
"7L","Silk Way West Airlines",0
"7S","Ryan Air f/k/a Arctic Transportation",6170
"8C","Air Transport International",18
"8E","Bering Air Inc.",115848
"8V","Wright Air Service",78219
"9E","Endeavor Air Inc.",11781194
"9K","Cape Air",326083
"9X","Southern Airways Express, dba Mokulele Airlines",430379
"AA","American Airlines Inc.",130925997
"ABX","ABX Air Inc",0
"AC","Air Canada",16285
"ADB","Antonov Company",0
"AMQ","Ameristar Air Cargo",1163
"AN","ADVANCED AIR, LLC",43243
"AOQ","Avcon Jet AG",30
"AS","Alaska Airlines Inc.",32975098
"B6","JetBlue Airways",32194716
"BAS","Baranautica Air Service LLC",278
"C5","CommuteAir LLC dba CommuteAir",3076600
"CAZ","CAT Aviation",8
"CX","Cathay Pacific Airways Ltd.",0
"DE","Condor Flugdienst",325
"DL","Delta Air Lines Inc.",136894445
"EK","Emirates",0
"ELL","Ellis Air Taxi Inc.",299
"EM","Empire Airlines Inc.",0
"F9","Frontier Airlines Inc.",27911707
"FX","Federal Express Corporation",0
"G3","VRG Linhas Aereas S A",358
"G4","Allegiant Air",17383907
"G7","GoJet Airlines LLC d/b/a United Express",1776918
"GCA","Global Crossing Airlines, Inc.",43243
"GCH","Grand Canyon Helicopters",0
"GEQ","Gestair, S.A.",14
"GFQ","Gulf And Caribbean Cargo",0
"GQQ","Executive Express dba Ravn Connect",2551
"GV","Grant Aviation",211213
"HA","Hawaiian Airlines Inc.",9987394
"HAQ","Hamilton Jetport Limited",7
"I4","Scott Air LLC dba Island Air Express",29608
"IB","Iberia Air Lines Of Spain",2665
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",63258
"JCO","Concierge U Ltd. d/b/a Jet Concierge Club",63
"JJ","Transportes Aeros Meridiona",0
"JRQ","KENAI AVIATION OPERATIONS, LLC",7271
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",34752
"K3","Venture Travel LLC d/b/a Taquan Air Service",6631
"KAH","Kenmore Air Harbor",62702
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",16326
"KD","Western Global",0
"KG","Key Lime Air Corporation",222747
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",11136
"L2","Lynden Air Cargo Airlines",0
"L7","Lan Colombia",0
"LA","Lan-Chile Airlines",0
"LDQ","Sparfell Luftfahrt GmbH",4
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",315771
"LH","Lufthansa German Airlines",275
"M6","Amerijet International",0
"MP","Martinair Holland N.V.",0
"MQ","Envoy Air",13399718
"MU","China Eastern Airlines",3024
"MX","Breeze Aviation Group DBA  Breeze",2833354
"N8","National Air Cargo Group Inc d/ba National Airlines",6692
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",26755
"NIQ","AVCON JET MALTA LTD",14
"NK","Spirit Air Lines",38927341
"NLQ","Nolinor Aviation",1
"OH","PSA Airlines Inc.",11276497
"OO","SkyWest Airlines Inc.",36980408
"OZ","Asiana Airlines Inc.",0
"PAF","Pathfinder Aviation",374
"PFQ","Asia Pacific",0
"PO","Polar Air Cargo Airways",0
"PT","Piedmont Airlines",4094325
"PTQ","Pontair Ltd.",9
"Q5","40-Mile Air",944
"QFX","Sparfell Malta Ltd",11
"QK","Jazz Aviation LP",70
"QT","Transportes Aereos Mercantiles Panamericanos S.A",0
"QX","Horizon Air",4253910
"RV","Air Canada rouge LP",703
"RVQ","Reeve Air Alaska, LLC",3492
"S2","Star Marianas Air Inc.",71956
"SEB","Seaborne Virgin Islands, Inc.",38678
"SNK","Spernak Airways Inc.",4912
"SQ","Singapore Airlines Ltd.",0
"SY","Sun Country Airlines d/b/a MN Airlines",4280980
"TA","Taca International Airlines",85
"TJ","Jet Charter Service Inc.",29632
"TK","Turk Hava Yollari A.O.",1484
"TP","TAP-TAP Air Portugal",0
"TQ","Tailwind Air, LLC",4973
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",102890703
"V8","Iliamna Air Taxi",13027
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",182
"VI","Vieques Air Link Inc.",46875
"VJT","VistaJet Limited",47
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",8292
"WN","Southwest Airlines Co.",167580040
"WS","Westjet",159
"WST","Friday Harbor Seaplanes",3481
"X4","Air Excursions LLC",8173
"X7","Challenge Airlines (BE) S.A.",0
"X9","Omni Air International LLC",13115
"XP","TEM Enterprises dba  Avelo Airlines",2296409
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",78481
"YV","Mesa Airlines Inc.",5390749
"YX","Republic Airline",16359042
"Z0","Norse Atlantic UK Ltd",290
"Z3Q","PM Air, LLC",40878
"ZPQ","Silk Way Airlines, LLC",0
"ZW","Air Wisconsin Airlines Corp",2347096
"All Rows","All Rows (including those not displayed)",822246051
