
UNIQUE_CARRIER, Description, QUARTER,Sum(LIAB_SH_HLD_EQUITY)
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","1",221760
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","2",220191
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","3",209134
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","4",215949
"0WQ","Avjet Corporation","1",73762
"0WQ","Avjet Corporation","2",69303
"0WQ","Avjet Corporation","3",71937
"0WQ","Avjet Corporation","4",65604
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1",63735
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","2",78192
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","3",99026
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","4",136054
"1TQ","Rhoades Aviation dba Transair","1",10261
"1TQ","Rhoades Aviation dba Transair","2",14955
"1TQ","Rhoades Aviation dba Transair","3",17305
"1TQ","Rhoades Aviation dba Transair","4",20322
"27Q","Jet Aviation Flight Services, Inc.","1",95962
"27Q","Jet Aviation Flight Services, Inc.","2",88793
"27Q","Jet Aviation Flight Services, Inc.","3",92382
"27Q","Jet Aviation Flight Services, Inc.","4",93278
"2HQ","Elite Airways LLC","1",24837
"2HQ","Elite Airways LLC","2",22737
"2HQ","Elite Airways LLC","3",21567
"2HQ","Elite Airways LLC","4",18672
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","1",9885
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","2",7635
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3",9354
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","4",13663
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","1",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","2",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","3",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","4",81734
"3M","Silver Airways","1",60916
"3M","Silver Airways","2",-60485
"3M","Silver Airways","3",68845
"3M","Silver Airways","4",37780
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",38028
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",44993
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",51809
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",55150
"5X","United Parcel Service","1",10609709
"5X","United Parcel Service","2",10436692
"5X","United Parcel Service","3",11211530
"5X","United Parcel Service","4",12019764
"5Y","Atlas Air Inc.","1",3443834
"5Y","Atlas Air Inc.","2",3653929
"5Y","Atlas Air Inc.","3",3566489
"5Y","Atlas Air Inc.","4",3881003
"8C","Air Transport International","1",149366
"8C","Air Transport International","2",99856
"8C","Air Transport International","3",101093
"8C","Air Transport International","4",100615
"9E","Endeavor Air Inc.","1",289295
"9E","Endeavor Air Inc.","2",238536
"9E","Endeavor Air Inc.","3",278498
"9E","Endeavor Air Inc.","4",281515
"9S","Southern Air Inc.","1",144139
"9S","Southern Air Inc.","2",171489
"9S","Southern Air Inc.","3",207613
"9S","Southern Air Inc.","4",281160
"AA","American Airlines Inc.","1",70777729
"AA","American Airlines Inc.","2",73104543
"AA","American Airlines Inc.","3",71318308
"AA","American Airlines Inc.","4",69214961
"ABX","ABX Air Inc","1",330721
"ABX","ABX Air Inc","2",327381
"ABX","ABX Air Inc","3",325454
"ABX","ABX Air Inc","4",327922
"AS","Alaska Airlines Inc.","1",19676624
"AS","Alaska Airlines Inc.","2",20260991
"AS","Alaska Airlines Inc.","3",20586252
"AS","Alaska Airlines Inc.","4",19753559
"B6","JetBlue Airways","1",12340174
"B6","JetBlue Airways","2",14027124
"B6","JetBlue Airways","3",13433465
"B6","JetBlue Airways","4",13405828
"C5","CommuteAir LLC dba CommuteAir","1",
"C5","CommuteAir LLC dba CommuteAir","2",
"C5","CommuteAir LLC dba CommuteAir","3",
"C5","CommuteAir LLC dba CommuteAir","4",45912
"CP (2)","Compass Airlines","1",43259
"CP (2)","Compass Airlines","2",32814
"CP (2)","Compass Airlines","3",
"CP (2)","Compass Airlines","4",
"DL","Delta Air Lines Inc.","1",68696480
"DL","Delta Air Lines Inc.","2",72320312
"DL","Delta Air Lines Inc.","3",79155494
"DL","Delta Air Lines Inc.","4",72064670
"EV","ExpressJet Airlines LLC d/b/a aha!","1",94302
"EV","ExpressJet Airlines LLC d/b/a aha!","2",159425
"EV","ExpressJet Airlines LLC d/b/a aha!","3",134752
"EV","ExpressJet Airlines LLC d/b/a aha!","4",
"F9","Frontier Airlines Inc.","1",3739761
"F9","Frontier Airlines Inc.","2",3678140
